source_pdf,pages,text_extracted,tables_detected,projects_detected,reporting_month_detected,ocr_used,extraction_status,confidence
April_Part-I_Synopsis.pdf,5,True,0,0,2024-04,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
August_Part-1(synopsis).pdf,4,True,0,0,2024-08,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
April-Jun_2016.pdf,693,True,0,0,2016-06,False,NO_PROJECTS_FOUND,0.0
April-June_2020.pdf,1189,True,0,0,2020-06,False,NO_PROJECTS_FOUND,0.0
FLR_APR_2009.pdf,50,True,0,0,2009-04,False,NO_PROJECTS_FOUND,0.0
August_Part-2(List_of_tables).pdf,245,True,226,2005,2024-08,False,SUCCESS,1.0
April_Part-II_List_of_tables.pdf,572,True,130,2148,2024-04,False,SUCCESS,1.0
FLR_FEB_2009.pdf,50,True,0,0,2009-02,False,NO_PROJECTS_FOUND,0.0
December.pdf,219,True,197,1937,2024-12,False,SUCCESS,1.0
FLR_MAY_2009.pdf,52,True,0,0,2009-05,False,NO_PROJECTS_FOUND,0.0
FR_APR_2011.pdf,81,True,43,900,2011-04,False,SUCCESS,1.0
FRApril2025.pdf,273,True,4,51,2025-04,False,SUCCESS,1.0
FRMarch2025.pdf,244,True,225,1886,2025-03,False,SUCCESS,1.0
FR_APR_2012.pdf,149,True,97,1725,2012-04,False,SUCCESS,1.0
FR_APR_2013.pdf,148,True,105,1903,2013-04,False,SUCCESS,1.0
FR_APR_2014.pdf,217,True,164,3175,2014-04,False,SUCCESS,1.0
FR_APRil_2015.pdf,265,True,205,3692,2015-04,False,SUCCESS,1.0
FR_APr_2016.pdf,355,True,282,5264,2016-04,False,SUCCESS,1.0
Apr-June-2015.pdf,538,True,144,1943,2015-06,False,SUCCESS,1.0
FR_APr_2018.pdf,538,True,462,8383,2018-04,False,SUCCESS,1.0
Apr-June_2017.pdf,729,True,266,2821,2017-06,False,SUCCESS,1.0
Apr-June_2018.pdf,803,True,235,2556,2018-06,False,SUCCESS,1.0
