project_id,project_name,sector,ministry,state,district,project_size,original_completion_date,revised_completion_date,first_seen_month,last_seen_month
020100040,KUDANKULAM AP,Atomic Energy,,,,,2001-12,,2009-12,2017-09
020100041,KAIGA 3 and 4 UN,Atomic Energy,,,,,2001-05,,2009-12,2010-12
020100042,RAJASTHAN ATO PROJECT 5 and 6,Atomic Energy,,,,,2002-04,,2009-12,2010-02
020100044,PROTOTYPE FAS REACTOR (BHAV Civil Aviation,Atomic Energy,BHAVNI,TAMIL NADU,,,2003-09,2016-09,2009-12,2024-12
060100087,TPS-II EXPANSION (1470MW T 1970MW),Atomic Energy,,,,,2004-10,,2009-12,2016-03
060100089,BARSINGSAR TPS,Railways,,,,,2004-12,,2009-12,2012-03
060100090,BARSINGSAR MINE 2.10 MTPA LIGNITE,,,,,,2004-12,,2009-12,2010-07
060100092,KULDA OCP (MAHANADI COA LTD.),Atomic Energy,MCL,ODISHA,,,2005-01,2018-03,2009-12,2020-09
060100093,GEVRA EXPANSION OCP (SE MTY),Atomic Energy,SECL,CHHATISGARH,,,2005-07,2023-03,2009-12,2025-03
060100094,DIPKA EXPANSION OCP (SEC MTY),Atomic Energy,,,,,2005-07,,2009-12,2016-03
060100096,ASHOK EXPN.OCP -CCL (5 MT,Atomic Energy,,,,,2006-04,,2009-12,2016-09
100100054,SECOND PHASE EX CAPTIVE ALUMINIUM POWE Steel,Mines,,,,,2004-10,,2009-11,2011-11
120100067,EXPANSION OF RI MTPY-6.3 MTPY OF,Steel,,,,,2005-10,,2009-11,2016-03
120100069,COAL DUST INJEC,,,,,,,,2009-11,2010-03
160100168,"C2-C3 AND LPG RECOVERY F LNG, DAHEJ (ONGC)",Petroleum,,,,,2003-12,,2010-07,2012-03
160100215,IOR LAKWA - LAKHMANI,Petroleum,,,,,2001-09,,2009-10,2014-03
160100216,IOR GELEKI,Petroleum,,,,,2001-09,,2009-11,2014-03
160100217,"IOR, RUDRASAGAR (ONG",Petroleum,,,,,2001-09,,2009-10,2014-03
160100231,INTEGRATED DEV OF G,Petroleum,,,,,2003-04,,2009-10,2016-03
160100281,CLEAN FUELS PROJECT AT VISAKH REFINERY(HPCL)(HINDUSTAN PETRO LIMITED) Telecommunications,Petroleum,,,,,,,2010-07,2011-03
160100289,INST. OF FACILITIES FOR IMPROVEMENT IN DIESE,Petroleum,,,,,2005-11,,2009-10,2010-10
160100292,PANIPAT NAPHTA CRAC PROJECT,Petroleum,,,,,2006-04,,2009-10,2010-07
180100078,LOKTAK D/S HEP(NHPC),Atomic Energy,NHPC,MANIPUR,,,1999-12,2006-06,2010-07,2022-06
180100165,TUIRIAL HE PROJECT(N,,,,,,1998-07,,2009-09,2012-04
180100184,KOTESHWAR HEP(TH,,,,,,2000-04,,2009-09,2012-03
180100210,PARBATI HEP (NHPC) II,Power,NHPC,HIMACHAL,,,2002-09,2020-12,2010-07,2025-03
180100211,KOLDAM HEP (NTPC),Power,,,,,2002-10,,2010-07,2016-03
180100220,SEWA- II H.E.P,,,,,,,,2009-09,2011-03
180100221,LOWER SUBANSIR,Power,NHPC,ARUNACHAL,,,2003-09,2023-08,2009-09,2025-03
180100222,TESSTA LOW DAM S,Power,,,,,2003-10,,2009-09,2014-03
180100229,SIPAT STPP STAGE,,,,,,2003-12,,2009-09,2013-03
180100239,KAMENG HYDROELECTRIC P,Power,NEEPCO,ARUNACHAL,,,2004-12,2019-03,2009-09,2022-03
180100241,"CHAMERA,STAGE-III (N",Power,,,,,2005-08,,2009-09,2013-03
180100242,BARH STPP(3X660MW) NTPC,Power,NTPC,BIHAR,,,2003-12,2021-04,2009-09,2025-03
180100243,TEESTA LOW DAM H,Power,,,,,2005-09,,2009-09,2016-09
180100246,KAIGA 3&4 TRANSMISS,Power,,,,,2005-03,,2009-09,2016-03
180100247,NEYVELI TS-II TRANSIMISSION SYSTEM,,,,,,,,2010-02,2010-02
180100250,PARBATI H.E.P. STAGE,Power,,,,,2005-10,,2009-09,2015-03
180100251,URI H.E.P STAGE -II (,Power,,,,,2005-08,,2009-09,2014-03
180100253,SYSTEM STRENGTHENING - VII OF SOUTHERN REGION (PGCIL),,,,,,2005-05,,2009-09,2010-02
180100256,KOTESWAR TRANSMIS,,,,,,2006-06,,2009-09,2011-05
180100257,SIPAT-II SUPP. TRANS. SYSTEM,,,,,,2005-06,,2009-09,2010-01
180100258,KUNADANKULAM-APP TRANS. SYSTEM,Power,PGCIL,TAMIL NADU,,,2005-05,2018-09,2010-03,2020-03
180100260,TRANSMISSION SY. AS WITH BARH GENER. PR,Railways,,,,,2005-12,,2009-09,2013-03
180100261,TRANSMISSION S ASSOCIATED WIT,Petroleum,,,,,2005-12,,2009-09,2017-09
180100263,KOLDAM HEP TRANSMISSION LINE,,,,,,2005-09,,2009-09,2010-02
210100001,NORTH EAST INDIRA GANDHI INST ITUTE OF HEALTH & MS Railways,,,,,,1986-05,,2009-11,2010-07
220100007,"GUNA-ETAWAH(NCR), NL",Railways,NCR,MULTI STATE,,,1985-04,,2009-09,2019-06
220100009,FREIGHT OPERATIONS INFORMATION SYSTEM (FOIS,Railways,,,,,1984-03,,2009-09,2014-12
220100062,"VIRAMGAM-BHILDI(WR),GC",Railways,,,,,1990-04,,2009-09,2016-12
220100106,PEDAPALLI-KARIMNAGAR NIZAMABAD NL,Railways,SCR,TELANGANA,,,1994-12,2017-03,2009-09,2019-03
220100116,RAJKOT-VERAVAL & WANSJALIYA JETALSAR GC,,,,,,1992-04,,2009-11,2011-08
220100118,AMRAVATI-NARKHER NL(CR),Railways,CR,MAHARASHTRA,,,1994-06,,2009-09,2019-06
220100125,"HOTGI-GADAG(GC),SWR",,,,,,,,2009-09,2011-03
220100131,AMBALA-MORADABAD(RE),,,,,,1993-03,,2009-09,2011-03
220100133,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR",Railways,NR,JAMMU AND,,,1995-03,2021-03,2009-09,2025-03
220100135,"EKLAKHI-BALURGHAT(NL),NEFR",Railways,NFR,WEST BENGAL,,,1983-04,2020-03,2009-09,2022-06
220100148,LANJHIGARH-JUNAGARH NL(E,Railways,,,,,1993-04,,2009-09,2014-03
220100149,"DALLIRAJHARA JAGDALPUR,NL,SECR",Railways,RVNL,CHHATISGARH,,,1995-04,2022-03,2009-09,2019-06
220100151,CALICUT-MANGALORE (DL) (SR),Railways,SR,MULTI STATE,,,1996-02,,2009-09,2019-06
220100162,"MIRAJ-LATUR ROAD(GC),CR",Railways,,,,,1993-04,,2009-09,2011-03
220100164,BELAPUR-SEAWOOD-URAN ELECTRIF-IED DOUBLE LINE(MTP) PH-I,Railways,MRTP,MAHARASHTRA,,,1996-03,2020-03,2009-09,2024-03
220100168,"MANDARHILL-DUMKA-RAMPURHAT (NL),ER",Railways,ER,JHARKHAND,,,1995-04,2010-12,2009-09,2019-06
220100170,"LUMDING-SILCHAR(GC),NEFR",,,,,,,,2009-09,2010-02
220100181,AHMEDNAGAR-PARLI VAIJNATH CR,Railways,CR,MAHARASHTRA,,,1997-02,2021-03,2009-09,2025-03
220100183,"HASSAN-BANGALORE VIA SHRAVANA-BELGOLA(NL),SWR",Railways,,,,,1997-02,,2009-09,2017-12
220100184,"DAUSA-GANGAPUR CITY(NL),NWR",Railways,NWR,RAJASTHAN,,,1997-02,2019-02,2009-09,2024-12
220100185,"AJMER-UDAIPUR-CHITTAURGARH (GC),NWR",Railways,,,,,,,2009-09,2012-03
220100186,"GONDIA-JABALPUR(GC),(SECR)",Railways,SECR,MULTI STATE,,,1997-02,2019-12,2009-09,2022-03
220100187,"SURENDRANAGAR BHAVNAGAR(GC),WR",Steel,,,,,1997-03,,2009-09,2012-03
220100188,"NANGALDAM-TALWARA(NL),NR",Power,NR,MULTI STATE,,,1981-03,2024-03,2009-09,2025-03
220100190,"KADUR-CHIKMAGALUR SAKLESHPUR (NL),(SWR)",Railways,,,,,1996-04,,2009-09,2014-03
220100191,"KARUR-SALEM(NL),SR",Railways,SR,TAMIL NADU,,,1997-02,,2009-09,2019-06
220100192,"NANDYAL-YERRAGUNTLA(NL),SCR",Railways,SCR,ANDHRA,,,1996-03,,2009-09,2022-03
220100193,"HUBLI-AKOLA(NL),SWR",Railways,SWR,KARNATAKA,,,1995-04,2024-12,2009-09,2024-03
220100194,"MUZAFFARPUR-SITAMARHI(NL),ECR",Railways,,,,,1997-04,,2009-09,2013-03
220100195,"HOSPET-GUNTAKAL(LD),SCR",,,,,,,,2009-09,2011-03
220100197,"KANPUR-KASGANJ MATHURA(GC),NER",Railways,,,,,1997-03,,2009-09,2018-03
220100201,"BRAHAMAPUTRA BRIDGE AT BOGIBIL & LINK LINES,NEFR",Railways,NFR,ASSAM,,,1997-09,2011-12,2009-09,2018-11
220100205,"MUNEERABAD MAHABOOBNAGAR(NL),SCR",Railways,SCR,MULTI STATE,,,1997-04,2019-03,2009-09,2024-06
220100208,HOWRAH-AMTA-CHAMPADANGA NL,Railways,SER,WEST BENGAL,,,1974-04,2007-03,2009-09,2022-06
220100212,"KOTTUR-HARIHAR(NL),(SWR)",Railways,,,,,1995-04,,2009-09,2014-03
220100214,"RANCHI-LOHARDAGA(GC),SER",Railways,,,,,1997-04,,2009-09,2018-06
220100220,MACHERLA-NALGONDA(NL)(SCR),Railways,SCR,TELANGANA,,,1998-07,,2009-09,2022-06
220100221,2ND BRIDGE ON BIRUPA AND MAHANADI(B and S) (ECOR),,,,,,,,2009-09,2009-09
220100222,"KODERMA-RANCHI VIA BARKAKHANA (NL),ECR",Railways,ECR,JHARKHAND,,,1999-03,2022-03,2009-09,2024-03
220100224,"NEW JALPAIGURI-NEW BONGAIGAON (GC),NEFR",,,,,,,,2009-09,2010-07
220100226,DLW GM 4000 / 3000 HP DIESEL LOCOS,,,,,,,,2009-09,2010-03
220100232,LALITPUR-SATNA-REWA-SINGRULI NL,Railways,WCR,MULTI STATE,,,1998-09,2023-03,2009-09,2025-03
